nest_number,habitat,clutch,fledging_success,Percent Success
1,Berm,2,1,0.5
2,Berm,2,2,1
3,Berm,3,3,1
4,Berm,3,1,0.33
5,Berm,3,2,0.67
6,Berm,3,1,0.33
7,Berm,3,3,1
8,Berm,3,3,1
9,Berm,3,1,0.33
10,Berm,3,1,0.33
11,Berm,3,1,0.33
12,Berm,3,0,0
13,Berm,3,1,0.33
14,Berm,3,1,0.33
15,Berm,3,3,1
16,Berm,3,1,0.33
17,Berm,3,1,0.33
18,Berm,3,0,0
19,Meadow,2,0,0
20,Meadow,2,1,0.5
21,Meadow,2,0,0
22,Meadow,3,2,0.67
23,Meadow,3,0,0
24,Meadow,3,3,1
25,Meadow,3,3,1
26,Meadow,3,1,0.33
27,Meadow,3,3,1
28,Meadow,3,2,0.67
29,Meadow,3,3,1
30,Meadow,3,2,0.67
31,Meadow,3,0,0
32,Meadow,3,3,1
33,Meadow,3,3,1
34,Meadow,3,2,0.67
35,Meadow,3,2,0.67
36,Meadow,3,2,0.67
37,Meadow,3,1,0.33
38,Meadow,3,3,1
39,Dense Vegetation,3,3,1
40,Dense Vegetation,3,0,0
41,Dense Vegetation,3,2,0.67
42,Dense Vegetation,3,3,1
43,Dense Vegetation,3,2,0.67
44,Dense Vegetation,3,1,0.33
45,Dense Vegetation,3,3,1
46,Dense Vegetation,3,2,0.67
47,Dense Vegetation,3,1,0.33
48,Dense Vegetation,3,0,0
49,Dense Vegetation,3,3,1
50,Dense Vegetation,3,3,1
51,Dense Vegetation,3,1,0.33
52,Dense Vegetation,3,2,0.67
53,Dense Vegetation,3,1,0.33
